阿尔法比较参数,a'er'fa'bi'jiao'can'shu
易向导,yi'xiang'dao
易向导支持库,yi'xiang'dao'zhi'chi'ku
一小时,yi'xiao'shi
一星期,yi'xing'qi
已修改,yi'xiu'gai
已移动记录,yi'yi'dong'ji'lu
易语言皮肤支持库,yi'yu'yan'pi'fu'zhi'chi'ku
一帧被加载后,yi'zhen'bei'jia'zai'hou
银白,yin'bai
隐藏,yin'cang
隐藏表头,yin'cang'biao'tou
隐藏菜单,yin'cang'cai'dan
隐藏查找方向,yin'cang'cha'zhao'fang'xiang
隐藏窗口,yin'cang'chuang'kou
隐藏的,yin'cang'de
隐藏对象,yin'cang'dui'xiang
隐藏光标,yin'cang'guang'biao
隐藏幻灯片,yin'cang'huan'deng'pian
隐藏开始按钮,yin'cang'kai'shi'an'niu
隐藏区分大小写,yin'cang'qu'fen'da'xiao'xie
隐藏全字匹配,yin'cang'quan'zi'pi'pei
隐藏任务栏,yin'cang'ren'wu'lan
隐藏提示框,yin'cang'ti'shi'kuang
隐藏文件,yin'cang'wen'jian
隐藏系统时钟,yin'cang'xi'tong'shi'zhong
隐藏线,yin'cang'xian
隐藏项目,yin'cang'xiang'mu
隐藏选择,yin'cang'xuan'ze
隐藏只读复选框,yin'cang'zhi'du'fu'xuan'kuang
隐藏桌面图标,yin'cang'zhuo'mian'tu'biao
隐藏子夹,yin'cang'zi'jia
隐藏自身,yin'cang'zi'shen
引号,yin'hao
音量,yin'liang
音量改变,yin'liang'gai'bian
音量类型,yin'liang'lei'xing
音频语言,yin'pin'yu'yan
音频语言被改变,yin'pin'yu'yan'bei'gai'bian
音频语言数量,yin'pin'yu'yan'shu'liang
音频语言索引,yin'pin'yu'yan'suo'yin
音频转换,yin'pin'zhuan'huan
引擎版本,yin'qing'ban'ben
银色风格,yin'se'feng'ge
阴文,yin'wen
音效,yin'xiao
阴影,yin'ying
阴影垂直偏移量,yin'ying'chui'zhi'pian'yi'liang
阴影垂直深度,yin'ying'chui'zhi'shen'du
阴影灰度,yin'ying'hui'du
阴影是否渐变,yin'ying'shi'fou'jian'bian
阴影水平偏移量,yin'ying'shui'ping'pian'yi'liang
阴影水平深度,yin'ying'shui'ping'shen'du
引用,yin'yong
音乐,yin'yue
因子透明混合,yin'zi'tou'ming'hun'he
英镑,ying'bang
英寸,ying'cun
应答,ying'da
硬件处理,ying'jian'chu'li
硬件地址长度,ying'jian'di'zhi'chang'du
硬件顶点处理,ying'jian'ding'dian'chu'li
硬件加速,ying'jian'jia'su
硬件类型,ying'jian'lei'xing
硬件消息钩子,ying'jian'xiao'xi'gou'zi
硬件支持变换和光照,ying'jian'zhi'chi'bian'huan'he'guang'zhao
萤幕,ying'mu
硬盘驱动器,ying'pan'qu'dong'qi
硬盘信息,ying'pan'xin'xi
影片,ying'pian
影片创建,ying'pian'chuang'jian
影片定义场景,ying'pian'ding'yi'chang'jing
影片剪辑,ying'pian'jian'ji
影片剪辑创建,ying'pian'jian'ji'chuang'jian
影片剪辑结束当前帧并开始新帧,ying'pian'jian'ji'jie'shu'dang'qian'zhen'bing'kai'shi'xin'zhen
影片剪辑开始播放声音,ying'pian'jian'ji'kai'shi'bo'fang'sheng'yin
影片剪辑添加动作,ying'pian'jian'ji'tian'jia'dong'zuo
影片剪辑添加物体,ying'pian'jian'ji'tian'jia'wu'ti
影片剪辑添加匀速形变,ying'pian'jian'ji'tian'jia'yun'su'xing'bian
影片剪辑添加帧,ying'pian'jian'ji'tian'jia'zhen
影片剪辑停止播放声音,ying'pian'jian'ji'ting'zhi'bo'fang'sheng'yin
影片剪辑销毁,ying'pian'jian'ji'xiao'hui
影片剪辑移除所有实例,ying'pian'jian'ji'yi'chu'suo'you'shi'li
影片剪辑增加初始动作,ying'pian'jian'ji'zeng'jia'chu'shi'dong'zuo
影片剪辑置当前帧标签,ying'pian'jian'ji'zhi'dang'qian'zhen'biao'qian
影片剪辑置声音流,ying'pian'jian'ji'zhi'sheng'yin'liu
影片结束当前帧并开始新帧,ying'pian'jie'shu'dang'qian'zhen'bing'kai'shi'xin'zhen
影片开始播放声音,ying'pian'kai'shi'bo'fang'sheng'yin
影片取帧速率,ying'pian'qu'zhen'su'lv
影片生成内容,ying'pian'sheng'cheng'nei'rong
影片生成文件,ying'pian'sheng'cheng'wen'jian
影片添加动作,ying'pian'tian'jia'dong'zuo
影片添加物体,ying'pian'tian'jia'wu'ti
影片添加匀速形变,ying'pian'tian'jia'yun'su'xing'bian
影片添加帧,ying'pian'tian'jia'zhen
影片停止播放声音,ying'pian'ting'zhi'bo'fang'sheng'yin
影片销毁,ying'pian'xiao'hui
影片移除所有实例,ying'pian'yi'chu'suo'you'shi'li
影片置本地回放安全,ying'pian'zhi'ben'di'hui'fang'an'quan
影片置当前帧标签,ying'pian'zhi'dang'qian'zhen'biao'qian
影片置脚本限制,ying'pian'zhi'jiao'ben'xian'zhi
影片置声音流,ying'pian'zhi'sheng'yin'liu
映射到内存,ying'she'dao'nei'cun
映射网络驱动器,ying'she'wang'luo'qu'dong'qi
映射资源,ying'she'zi'yuan
英文,ying'wen
英文大小写,ying'wen'da'xiao'xie
英文识别,ying'wen'shi'bie
影像框,ying'xiang'kuang
影像文件名,ying'xiang'wen'jian'ming
应用接口支持库,ying'yong'jie'kou'zhi'chi'ku
应用模板,ying'yong'mu'ban
应用状态块,ying'yong'zhuang'tai'kuai
用抖动运算产生,yong'dou'dong'yun'suan'chan'sheng
用户列表被选择,yong'hu'lie'biao'bei'xuan'ze
用户密码,yong'hu'mi'ma
用户名,yong'hu'ming
用户帐号,yong'hu'zhang'hao
用途,yong'tu
用途索引,yong'tu'suo'yin
永远不覆盖,yong'yuan'bu'fu'gai
用中文制表符,yong'zhong'wen'zhi'biao'fu
右按钮被单击,you'an'niu'bei'dan'ji
右边,you'bian
右边对齐,you'bian'dui'qi
右边界距离,you'bian'jie'ju'li
右边距,you'bian'ju
右边空,you'bian'kong
右边框,you'bian'kuang
右边缩进,you'bian'suo'jin
右边右移,you'bian'you'yi
右边左移,you'bian'zuo'yi
游标定位,you'biao'ding'wei
游标类型,you'biao'lei'xing
游标型,you'biao'xing
邮槽服务器,you'cao'fu'wu'qi
邮槽客户机,you'cao'ke'hu'ji
有错误发生,you'cuo'wu'fa'sheng
右单元格,you'dan'yuan'ge
由点生成目标点,you'dian'sheng'cheng'mu'biao'dian
右对齐,you'dui'qi
有符号,you'fu'hao
有符号加,you'fu'hao'jia
有符号加除,you'fu'hao'jia'chu
有符号字节型,you'fu'hao'zi'jie'xing
有符号字节字段,you'fu'hao'zi'jie'zi'duan
右光标键,you'guang'biao'jian
优化选择,you'hua'xuan'ze
右键菜单,you'jian'cai'dan
右键菜单被弹出,you'jian'cai'dan'bei'tan'chu
右键单击,you'jian'dan'ji
右键单击表项,you'jian'dan'ji'biao'xiang
右键单击前,you'jian'dan'ji'qian
右键单击项目,you'jian'dan'ji'xiang'mu
邮件发送,you'jian'fa'song
邮件接收,you'jian'jie'shou
邮件接收支持库,you'jian'jie'shou'zhi'chi'ku
右键双击,you'jian'shuang'ji
右箭头,you'jian'tou
右箭头横线,you'jian'tou'heng'xian
邮件信息,you'jian'xin'xi
由区域生成目标点,you'qu'yu'sheng'cheng'mu'biao'dian
右三角,you'san'jiao
右上,you'shang
右上箭头横环线,you'shang'jian'tou'heng'huan'xian
右上箭头横折线,you'shang'jian'tou'heng'zhe'xian
右上箭头竖环线,you'shang'jian'tou'shu'huan'xian
右上箭头竖折线,you'shang'jian'tou'shu'zhe'xian
右上箭头直角线,you'shang'jian'tou'zhi'jiao'xian
右上角,you'shang'jiao
右上文字对齐,you'shang'wen'zi'dui'qi
右上直角线,you'shang'zhi'jiao'xian
右声道,you'sheng'dao
有无边框,you'wu'bian'kuang
游戏控制器,you'xi'kong'zhi'qi
右下,you'xia
右下箭头横环线,you'xia'jian'tou'heng'huan'xian
右下箭头横折线,you'xia'jian'tou'heng'zhe'xian
右下箭头竖环线,you'xia'jian'tou'shu'huan'xian
右下箭头竖折线,you'xia'jian'tou'shu'zhe'xian
右下箭头直角线,you'xia'jian'tou'zhi'jiao'xian
右下角,you'xia'jiao
有下拉列表,you'xia'la'lie'biao
右下文字对齐,you'xia'wen'zi'dui'qi
右下直角线,you'xia'zhi'jiao'xian
有效,you'xiao
右移,you'yi
右移位,you'yi'wei
右引号,you'yin'hao
右中,you'zhong
右中括号键,you'zhong'kuo'hao'jian
右中文字对齐,you'zhong'wen'zi'dui'qi
右轴表格线风格,you'zhou'biao'ge'xian'feng'ge
右轴表格线居中,you'zhou'biao'ge'xian'ju'zhong
右轴表格线可视,you'zhou'biao'ge'xian'ke'shi
右轴表格线宽度,you'zhou'biao'ge'xian'kuan'du
右轴表格线设置,you'zhou'biao'ge'xian'she'zhi
右轴表格线颜色,you'zhou'biao'ge'xian'yan'se
右轴表格线样式,you'zhou'biao'ge'xian'yang'shi
右轴标签尺寸,you'zhou'biao'qian'chi'cun
右轴标签风格,you'zhou'biao'qian'feng'ge
右轴标签间距,you'zhou'biao'qian'jian'ju
右轴标签角度,you'zhou'biao'qian'jiao'du
右轴标签可视,you'zhou'biao'qian'ke'shi
右轴标签逻辑位置,you'zhou'biao'qian'luo'ji'wei'zhi
右轴标签字体,you'zhou'biao'qian'zi'ti
右轴标签字体颜色,you'zhou'biao'qian'zi'ti'yan'se
右轴标题,you'zhou'biao'ti
右轴标题尺寸,you'zhou'biao'ti'chi'cun
右轴标题角度,you'zhou'biao'ti'jiao'du
右轴标题逻辑位置,you'zhou'biao'ti'luo'ji'wei'zhi
右轴标题设置,you'zhou'biao'ti'she'zhi
右轴标题字体,you'zhou'biao'ti'zi'ti
右轴标题字体颜色,you'zhou'biao'ti'zi'ti'yan'se
右轴对数显示,you'zhou'dui'shu'xian'shi
右轴多行标签,you'zhou'duo'hang'biao'qian
右轴反转,you'zhou'fan'zhuan
右轴结束位置,you'zhou'jie'shu'wei'zhi
右轴结束像素位置,you'zhou'jie'shu'xiang'su'wei'zhi
右轴精确日期时间,you'zhou'jing'que'ri'qi'shi'jian
右轴刻度长度,you'zhou'ke'du'chang'du
右轴刻度风格,you'zhou'ke'du'feng'ge
右轴刻度可视,you'zhou'ke'du'ke'shi
右轴刻度宽度,you'zhou'ke'du'kuan'du
右轴刻度设置,you'zhou'ke'du'she'zhi
右轴刻度颜色,you'zhou'ke'du'yan'se
右轴刻度样式,you'zhou'ke'du'yang'shi
右轴可视,you'zhou'ke'shi
右轴逻辑位置,you'zhou'luo'ji'wei'zhi
右轴内部刻度长度,you'zhou'nei'bu'ke'du'chang'du
右轴内部刻度风格,you'zhou'nei'bu'ke'du'feng'ge
右轴内部刻度可视,you'zhou'nei'bu'ke'du'ke'shi
右轴内部刻度宽度,you'zhou'nei'bu'ke'du'kuan'du
右轴内部刻度设置,you'zhou'nei'bu'ke'du'she'zhi
右轴内部刻度颜色,you'zhou'nei'bu'ke'du'yan'se
右轴内部刻度样式,you'zhou'nei'bu'ke'du'yang'shi
右轴起始位置,you'zhou'qi'shi'wei'zhi
右轴起始像素位置,you'zhou'qi'shi'xiang'su'wei'zhi
右轴其他面,you'zhou'qi'ta'mian
右轴日期时间格式,you'zhou'ri'qi'shi'jian'ge'shi
右轴舍入标签值,you'zhou'she'ru'biao'qian'zhi
右轴设置,you'zhou'she'zhi
右轴水平线,you'zhou'shui'ping'xian
右轴位置,you'zhou'wei'zhi
右轴线设置,you'zhou'xian'she'zhi
右轴显示两端标签,you'zhou'xian'shi'liang'duan'biao'qian
右轴小刻度长度,you'zhou'xiao'ke'du'chang'du
右轴小刻度风格,you'zhou'xiao'ke'du'feng'ge
右轴小刻度可视,you'zhou'xiao'ke'du'ke'shi
右轴小刻度宽度,you'zhou'xiao'ke'du'kuan'du
右轴小刻度设置,you'zhou'xiao'ke'du'she'zhi
右轴小刻度数量,you'zhou'xiao'ke'du'shu'liang
右轴小刻度颜色,you'zhou'xiao'ke'du'yan'se
右轴小刻度样式,you'zhou'xiao'ke'du'yang'shi
右轴增量,you'zhou'zeng'liang
右轴值格式,you'zhou'zhi'ge'shi
右轴只在标签位置显示刻度,you'zhou'zhi'zai'biao'qian'wei'zhi'xian'shi'ke'du
右轴轴线风格,you'zhou'zhou'xian'feng'ge
右轴轴线可视,you'zhou'zhou'xian'ke'shi
右轴轴线宽度,you'zhou'zhou'xian'kuan'du
右轴轴线颜色,you'zhou'zhou'xian'yan'se
右轴轴线样式,you'zhou'zhou'xian'yang'shi
右轴自动计算,you'zhou'zi'dong'ji'suan
右轴自动计算最大值,you'zhou'zi'dong'ji'suan'zui'da'zhi
右轴自动计算最小值,you'zhou'zi'dong'ji'suan'zui'xiao'zhi
右轴最大值,you'zhou'zui'da'zhi
右轴最小值,you'zhou'zui'xiao'zhi
右转,you'zhuan
与笔,yu'bi
与笔非,yu'bi'fei
预采样曲面表面置换贴图,yu'cai'yang'qu'mian'biao'mian'zhi'huan'tie'tu
预乘,yu'cheng
预乘纹理透明混合,yu'cheng'wen'li'tou'ming'hun'he
预定义过程,yu'ding'yi'guo'cheng
与非笔,yu'fei'bi
预加载,yu'jia'zai
预建剪辑从文件创建,yu'jian'jian'ji'cong'wen'jian'chuang'jian
预建剪辑从字节集创建,yu'jian'jian'ji'cong'zi'jie'ji'chuang'jian
预建剪辑销毁,yu'jian'jian'ji'xiao'hui
语句,yu'ju
预览,yu'lan
预览背景图,yu'lan'bei'jing'tu
雨水,yu'shui
语言,yu'yan
语音识别,yu'yin'shi'bie
远程登录历史记录,yuan'cheng'deng'lu'li'shi'ji'lu
远程服务,yuan'cheng'fu'wu
远程服务支持库,yuan'cheng'fu'wu'zhi'chi'ku
远程客户端,yuan'cheng'ke'hu'duan
远程模式,yuan'cheng'mo'shi
原点,yuan'dian
圆点键,yuan'dian'jian
远东垂直,yuan'dong'chui'zhi
远东度,yuan'dong'du
远东格式,yuan'dong'ge'shi
远东水平旋转,yuan'dong'shui'ping'xuan'zhuan
远东字体名,yuan'dong'zi'ti'ming
源端口,yuan'duan'kou
源混合模式,yuan'hun'he'mo'shi
源混合特性,yuan'hun'he'te'xing
圆角高度,yuan'jiao'gao'du
圆角横向尺寸,yuan'jiao'heng'xiang'chi'cun
圆角矩形,yuan'jiao'ju'xing
圆角矩形标注,yuan'jiao'ju'xing'biao'zhu
圆角宽度,yuan'jiao'kuan'du
圆角右箭头,yuan'jiao'you'jian'tou
圆角正方形,yuan'jiao'zheng'fang'xing
圆角纵向尺寸,yuan'jiao'zong'xiang'chi'cun
源连接,yuan'lian'jie
原始套接字,yuan'shi'tao'jie'zi
原始文本,yuan'shi'wen'ben
源图高,yuan'tu'gao
源图渐进级数,yuan'tu'jian'jin'ji'shu
源图宽,yuan'tu'kuan
源图深,yuan'tu'shen
源图像高度,yuan'tu'xiang'gao'du
源图像宽度,yuan'tu'xiang'kuan'du
源文件名,yuan'wen'jian'ming
圆形,yuan'xing
圆形印章,yuan'xing'yin'zhang
源值饱和通道,yuan'zhi'bao'he'tong'dao
源值通道比例,yuan'zhi'tong'dao'bi'li
源值通道比例反,yuan'zhi'tong'dao'bi'li'fan
源值颜色比例,yuan'zhi'yan'se'bi'li
源值颜色比例反,yuan'zhi'yan'se'bi'li'fan
圆柱,yuan'zhu
圆柱型,yuan'zhu'xing
圆柱形,yuan'zhu'xing
圆锥,yuan'zhui
圆锥型,yuan'zhui'xing
圆锥形,yuan'zhui'xing
越出边界,yue'chu'bian'jie
阅读顺序,yue'du'shun'xu
月份,yue'fen
月历,yue'li
运行,yun'xing
运行对话框,yun'xing'dui'hua'kuang
运行宏,yun'xing'hong
运行时数据源字段名称,yun'xing'shi'shu'ju'yuan'zi'duan'ming'cheng
运行中,yun'xing'zhong
运行中的自动匹配历史记录,yun'xing'zhong'de'zi'dong'pi'pei'li'shi'ji'lu
允许,yun'xu
允许编辑,yun'xu'bian'ji
允许编辑文本,yun'xu'bian'ji'wen'ben
允许插入,yun'xu'cha'ru
允许插入换行符,yun'xu'cha'ru'huan'hang'fu
允许重画,yun'xu'chong'hua
允许抖动,yun'xu'dou'dong
允许多行,yun'xu'duo'hang
允许多行表头,yun'xu'duo'hang'biao'tou
允许多选,yun'xu'duo'xuan
允许滚动,yun'xu'gun'dong
允许拒绝,yun'xu'ju'jue
允许空值,yun'xu'kong'zhi
允许碰撞,yun'xu'peng'zhuang
允许三维缩放,yun'xu'san'wei'suo'fang
允许删除,yun'xu'shan'chu
允许事件,yun'xu'shi'jian
允许输入多行,yun'xu'shu'ru'duo'hang
允许添加,yun'xu'tian'jia
允许调整行高,yun'xu'tiao'zheng'hang'gao
允许调整列,yun'xu'tiao'zheng'lie
允许调整列宽,yun'xu'tiao'zheng'lie'kuan
允许透明,yun'xu'tou'ming
允许拖动跟踪,yun'xu'tuo'dong'gen'zong
允许拖放,yun'xu'tuo'fang
允许选择,yun'xu'xuan'ze
允许选择多天,yun'xu'xuan'ze'duo'tian
允许选择多项,yun'xu'xuan'ze'duo'xiang
允许选择块,yun'xu'xuan'ze'kuai
允许用户调节,yun'xu'yong'hu'tiao'jie
允许右键菜单,yun'xu'you'jian'cai'dan
允许粘贴扩展,yun'xu'zhan'tie'kuo'zhan
杂类,za'lei
杂项,za'xiang
在启动时显示,zai'qi'dong'shi'xian'shi
在任务条中显示,zai'ren'wu'tiao'zhong'xian'shi
载入,zai'ru
载入菜单,zai'ru'cai'dan
载入缓存,zai'ru'huan'cun
载入结构菜单,zai'ru'jie'gou'cai'dan
载入进度改变,zai'ru'jin'du'gai'bian
载入矩阵,zai'ru'ju'zhen
载入开始,zai'ru'kai'shi
载入库,zai'ru'ku
载入数据,zai'ru'shu'ju
载入调色板,zai'ru'tiao'se'ban
载入图片,zai'ru'tu'pian
载入完毕,zai'ru'wan'bi
载入位图,zai'ru'wei'tu
载入位图数据,zai'ru'wei'tu'shu'ju
载入文件,zai'ru'wen'jian
在首记录,zai'shou'ji'lu
在线,zai'xian
在线开启,zai'xian'kai'qi
暂停,zan'ting
暂停本任务,zan'ting'ben'ren'wu
暂停播放,zan'ting'bo'fang
暂停发音,zan'ting'fa'yin
藏蓝,zang'lan
藏青,zang'qing
增大字体,zeng'da'zi'ti
增加,zeng'jia
增加报表头,zeng'jia'bao'biao'tou
增加报表尾,zeng'jia'bao'biao'wei
增加标志,zeng'jia'biao'zhi
增加参数,zeng'jia'can'shu
增加垂直间距,zeng'jia'chui'zhi'jian'ju
增加当前值,zeng'jia'dang'qian'zhi
增加分组,zeng'jia'fen'zu
增加工具按钮,zeng'jia'gong'ju'an'niu
增加光滑,zeng'jia'guang'hua
增加横轴显示文字,zeng'jia'heng'zhou'xian'shi'wen'zi
增加记录,zeng'jia'ji'lu
增加连接,zeng'jia'lian'jie
增加列,zeng'jia'lie
增加明细网格,zeng'jia'ming'xi'wang'ge
增加权限,zeng'jia'quan'xian
增加水平间距,zeng'jia'shui'ping'jian'ju
增加索引,zeng'jia'suo'yin
增加文档引用,zeng'jia'wen'dang'yin'yong
增加下级组标题格,zeng'jia'xia'ji'zu'biao'ti'ge
增加线程,zeng'jia'xian'cheng
增加新任务,zeng'jia'xin'ren'wu
增加页脚,zeng'jia'ye'jiao
增加页眉,zeng'jia'ye'mei
增加脏区域,zeng'jia'zang'qu'yu
增加主键,zeng'jia'zhu'jian
增加自定义图形填充颜色,zeng'jia'zi'ding'yi'tu'xing'tian'chong'yan'se
增加字段,zeng'jia'zi'duan
增加纵轴显示文字,zeng'jia'zong'zhou'xian'shi'wen'zi
增加组标题格,zeng'jia'zu'biao'ti'ge
增加座标点值,zeng'jia'zuo'biao'dian'zhi
增减日期,zeng'jian'ri'qi
增减时间,zeng'jian'shi'jian
摘录,zhai'lu
占据列,zhan'ju'lie
展览,zhan'lan
占列分组头对齐方式枚举,zhan'lie'fen'zu'tou'dui'qi'fang'shi'mei'ju
占列式,zhan'lie'shi
粘贴,zhan'tie
粘贴处理,zhan'tie'chu'li
粘贴到光标处,zhan'tie'dao'guang'biao'chu
粘贴自剪辑板,zhan'tie'zi'jian'ji'ban
帐本,zhang'ben
长的,zhang'de
帐号,zhang'hao
章节类型,zhang'jie'lei'xing
遮蔽块复制,zhe'bi'kuai'fu'zhi
遮蔽透空块复制,zhe'bi'tou'kong'kuai'fu'zhi
折叠层号掩码,zhe'die'ceng'hao'yan'ma
折叠器,zhe'die'qi
折叠状态结束位置,zhe'die'zhuang'tai'jie'shu'wei'zhi
折叠状态展开状态,zhe'die'zhuang'tai'zhan'kai'zhuang'tai
折叠状态折叠状态,zhe'die'zhuang'tai'zhe'die'zhuang'tai
折叠状态中间结束位置,zhe'die'zhuang'tai'zhong'jian'jie'shu'wei'zhi
折叠状态中间展开,zhe'die'zhuang'tai'zhong'jian'zhan'kai
折叠状态中间折叠,zhe'die'zhuang'tai'zhong'jian'zhe'die
折叠状态子语句,zhe'die'zhuang'tai'zi'yu'ju
遮盖字符,zhe'gai'zi'fu
折角形,zhe'jiao'xing
折线,zhe'xian
折线型,zhe'xian'xing
遮罩层,zhe'zhao'ceng
侦测属性改变事件,zhen'ce'shu'xing'gai'bian'shi'jian
帧类型,zhen'lei'xing
振铃,zhen'ling
振铃之前,zhen'ling'zhi'qian
帧数,zhen'shu
正常,zheng'chang
正常标题颜色,zheng'chang'biao'ti'yan'se
正常表头底色,zheng'chang'biao'tou'di'se
正常渐变起始色,zheng'chang'jian'bian'qi'shi'se
正常视图,zheng'chang'shi'tu
正常图片,zheng'chang'tu'pian
整除,zheng'chu
正多边形,zheng'duo'bian'xing
正方形,zheng'fang'xing
正方形纹理,zheng'fang'xing'wen'li
整行选择,zheng'hang'xuan'ze
整行选中,zheng'hang'xuan'zhong
整理,zheng'li
整理收藏夹对话框,zheng'li'shou'cang'jia'dui'hua'kuang
正面,zheng'mian
正面和背面,zheng'mian'he'bei'mian
正切值,zheng'qie'zhi
正确,zheng'que
整数,zheng'shu
整数型,zheng'shu'xing
整数型字段,zheng'shu'xing'zi'duan
整数值,zheng'shu'zhi
正五边形,zheng'wu'bian'xing
正向搜索,zheng'xiang'sou'suo
正斜线,zheng'xie'xian
整型,zheng'xing
正在保存事务,zheng'zai'bao'cun'shi'wu
正在播放,zheng'zai'bo'fang
正在打开播放列表,zheng'zai'da'kai'bo'fang'lie'biao
正在打开媒体文件,zheng'zai'da'kai'mei'ti'wen'jian
正在等待,zheng'zai'deng'dai
正在定位播放列表,zheng'zai'ding'wei'bo'fang'lie'biao
正在改变大小,zheng'zai'gai'bian'da'xiao
正在缓冲,zheng'zai'huan'chong
正在获取,zheng'zai'huo'qu
正在获取记录,zheng'zai'huo'qu'ji'lu
正在加载播放列表,zheng'zai'jia'zai'bo'fang'lie'biao
正在检测,zheng'zai'jian'ce
正在连接,zheng'zai'lian'jie
正在连接播放列表,zheng'zai'lian'jie'bo'fang'lie'biao
正在取数据,zheng'zai'qu'shu'ju
正在执行,zheng'zai'zhi'xing
正在中止事务,zheng'zai'zhong'zhi'shi'wu
正则表达式,zheng'ze'biao'da'shi
正则表达式支持库,zheng'ze'biao'da'shi'zhi'chi'ku
置版本,zhi'ban'ben
置背景色,zhi'bei'jing'se
置被修改子程序,zhi'bei'xiu'gai'zi'cheng'xu
置变换矩阵,zhi'bian'huan'ju'zhen
置编辑框,zhi'bian'ji'kuang
置边距,zhi'bian'ju
置边框颜色,zhi'bian'kuang'yan'se
置变体型类型,zhi'bian'ti'xing'lei'xing
置变体值,zhi'bian'ti'zhi
置边线,zhi'bian'xian
置表格,zhi'biao'ge
置表格标题,zhi'biao'ge'biao'ti
置表格单元格文本,zhi'biao'ge'dan'yuan'ge'wen'ben
置标记背景色,zhi'biao'ji'bei'jing'se
置标记边框风格,zhi'biao'ji'bian'kuang'feng'ge
置标记边框可视,zhi'biao'ji'bian'kuang'ke'shi
置标记边框宽度,zhi'biao'ji'bian'kuang'kuan'du
置标记边框颜色,zhi'biao'ji'bian'kuang'yan'se
置标记边框样式,zhi'biao'ji'bian'kuang'yang'shi
置标记裁剪,zhi'biao'ji'cai'jian
置标记可视,zhi'biao'ji'ke'shi
置标记类型,zhi'biao'ji'lei'xing
置标记透明,zhi'biao'ji'tou'ming
置标记指示线长度,zhi'biao'ji'zhi'shi'xian'chang'du
置标记指示线风格,zhi'biao'ji'zhi'shi'xian'feng'ge
置标记指示线可视,zhi'biao'ji'zhi'shi'xian'ke'shi
置标记指示线宽度,zhi'biao'ji'zhi'shi'xian'kuan'du
置标记指示线颜色,zhi'biao'ji'zhi'shi'xian'yan'se
置标记指示线样式,zhi'biao'ji'zhi'shi'xian'yang'shi
置标记字体,zhi'biao'ji'zi'ti
置标题,zhi'biao'ti
置表头行数,zhi'biao'tou'hang'shu
置表头列数,zhi'biao'tou'lie'shu
置表项数值,zhi'biao'xiang'shu'zhi
置标志背景色,zhi'biao'zhi'bei'jing'se
置标志前景色,zhi'biao'zhi'qian'jing'se
置饼图乘数,zhi'bing'tu'cheng'shu
置饼图关联字段,zhi'bing'tu'guan'lian'zi'duan
置饼图名称,zhi'bing'tu'ming'cheng
置饼图系列三维旋转角度,zhi'bing'tu'xi'lie'san'wei'xuan'zhuan'jiao'du
置饼图系列三维阴影,zhi'bing'tu'xi'lie'san'wei'yin'ying
置饼图系列使用样式,zhi'bing'tu'xi'lie'shi'yong'yang'shi
置饼图系列突出最大切片,zhi'bing'tu'xi'lie'tu'chu'zui'da'qie'pian
置饼图系列线画笔粗细,zhi'bing'tu'xi'lie'xian'hua'bi'cu'xi
置饼图系列线画笔可视,zhi'bing'tu'xi'lie'xian'hua'bi'ke'shi
置饼图系列线画笔类型,zhi'bing'tu'xi'lie'xian'hua'bi'lei'xing
置饼图系列线画笔颜色,zhi'bing'tu'xi'lie'xian'hua'bi'yan'se
置饼图系列线画笔样式,zhi'bing'tu'xi'lie'xian'hua'bi'yang'shi
